Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgComp,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,RoomType,RoomName,WingType,WingName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,MatchID,PotentialID,MatchNarrative,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Facility,USER_Current_Rating,USER_Last_Inspection_Date,USER_City,USER_Address
World,M,97.200000000000003,A,"1111 W Olive Ave, Merced, California, 95348","1111 W Olive Ave, Merced, CA, 95348, USA",1111 W Olive Ave,PointAddress,,,"1111 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,1111,,,,,W,,Olive,Ave,,,,,,,,,,,,,,1111 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,1973,USA,United States,ENG,0.000000000000000,-120.488056205440003,37.320407502037000,-120.488056205440003,37.320407502037000,-120.489056205439994,-120.487056205439998,37.319407502037002,37.321407502036998,,AQF36AAAWPEBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQQxMTExZgNFTkc,,,Commercial,,1111 W. Olive Dr.,,,,Merced,,,,,,Dollar Tree Store 10527,Good,8/19/2024,Merced,1111 W. Olive Dr.
World,M,100.000000000000000,A,"613 W Olive Ave, Merced, California, 95348","613 W Olive Ave, Merced, CA, 95348, USA",613 W Olive Ave,PointAddress,,,"613 W Olive Ave, Merced, California, 95348",,,19.500000000000000,,613,,,,,W,,Olive,Ave,,,,,,,,,,,,,,613 W Olive Ave,,,,,Merced,,Merced County,California,CA,,,95348,2424,USA,United States,ENG,0.000000000000000,-120.478812391161000,37.319371750260999,-120.478812894076000,37.319698393027998,-120.479812894076005,-120.477812894075996,37.318698393028001,37.320698393028003,,AQGB6AAAV/EBAJUBBAAAAAAMEVdFU1QgT0xJVkUgQVZFTlVFFQM2MTNmA0VORw,,,Commercial,,613 W Olive Ave.,,,,Merced,,,,,,El Pollo Loco #3424,Good,4/17/2026,Merced,613 W Olive Ave.
World,M,100.000000000000000,A,"609 W Main St, Merced, California, 95340","609 W Main St, Merced, CA, 95340, USA",609 W Main St,PointAddress,,,"609 W Main St, Merced, California, 95340",,,19.500000000000000,,609,,,,,W,,Main,St,,,,,,,,,,,,,,609 W Main St,,,,,Merced,,Merced County,California,CA,,,95340,4717,USA,United States,ENG,0.000000000000000,-120.485177776070998,37.302121961163998,-120.485119605663002,37.302277361648997,-120.486119605663006,-120.484119605662997,37.301277361648999,37.303277361649002,,AQF66AAARvEBAJUBBAAAAAAMEFdFU1QgTUFJTiBTVFJFRVQVAzYwOWYDRU5H,,,Commercial,,609 W. Main St.,,,,Merced,,,,,,El Capitan Hotel,Good,9/25/2024,Merced,609 W. Main St.
World,M,100.000000000000000,A,"864 W 13th St, Merced, California, 95341","864 W 13th St, Merced, CA, 95341, USA",864 W 13th St,PointAddress,,,"864 W 13th St, Merced, California, 95341",,,20.000000000000000,,864,,,,,W,,13th,St,,,,,,,,,,,,,,864 W 13th St,,,,,Merced,,Merced County,California,CA,,,95341,5814,USA,United States,ENG,0.000000000000000,-120.491679283088004,37.299338331119998,-120.491778608640999,37.299068182379997,-120.492778608641004,-120.490778608640994,37.298068182380000,37.300068182380002,,AQF06AAAQ/EBAJUBBAAAAAAMEFdFU1QgMTNUSCBTVFJFRVQVAzg2NGYDRU5H,,,,,864 W. 13th St.,,,,Merced,,,,,,El Porvenir Grocery,Satisfactory,5/22/2026,Merced,864 W. 13th St.
World,M,100.000000000000000,A,"1460 Merced Ave, Merced, California, 95341","1460 Merced Ave, Merced, CA, 95341, USA",1460 Merced Ave,PointAddress,,,"1460 Merced Ave, Merced, California, 95341",,,19.500000000000000,,1460,,,,,,,Merced,Ave,,,,,,,,,,,,,,1460 Merced Ave,,,,,Merced,,Merced County,California,CA,,,95341,5332,USA,United States,ENG,0.000000000000000,-120.458605382805004,37.291530420674000,-120.458610328128003,37.291093220603997,-120.459610328127994,-120.457610328127998,37.290093220604000,37.292093220604002,,AQGV6AAAO/EBAJUBBAAAAAAMDU1FUkNFRCBBVkVOVUUVBDE0NjBmA0VORw,,,Commercial,,1460 Merced Ave.,,,,Merced,,,,,,Elder Services Inc DBA Dayout ADHC-Merced,Satisfactory,9/6/2024,Merced,1460 Merced Ave.
World,M,100.000000000000000,A,"1504 Stretch Rd, Merced, California, 95340","1504 Stretch Rd, Merced, CA, 95340, USA",1504 Stretch Rd,PointAddress,,,"1504 Stretch Rd, Merced, California, 95340",,,19.500000000000000,,1504,,,,,,,Stretch,Rd,,,,,,,,,,,,,,1504 Stretch Rd,,,,,Merced,,Merced County,California,CA,,,95340,4198,USA,United States,ENG,0.000000000000000,-120.455681272063003,37.300297891394997,-120.455681188244000,37.300208205030998,-120.456681188244005,-120.454681188243995,37.299208205031000,37.301208205031003,,AQGY6AAARPEBAJUBBAAAAAAMDFNUUkVUQ0ggUk9BRBUEMTUwNGYDRU5H,,,Commercial,,1504 Stretch Rd,,,,Merced,,,,,,Eltareb Market,Satisfactory,10/31/2024,Merced,1504 Stretch Rd
World,M,100.000000000000000,A,"224 W Main St, Merced, California, 95340","224 W Main St, Merced, CA, 95340, USA",224 W Main St,PointAddress,,,"224 W Main St, Merced, California, 95340",,,19.500000000000000,,224,,,,,W,,Main,St,,,,,,,,,,,,,,224 W Main St,,,,,Merced,,Merced County,California,CA,,,95340,4956,USA,United States,ENG,0.000000000000000,-120.479515800475994,37.299956077384003,-120.479609007239006,37.299703363002997,-120.480609007238996,-120.478609007239001,37.298703363003000,37.300703363003002,,AQGA6AAAQ/EBAJUBBAAAAAAMEFdFU1QgTUFJTiBTVFJFRVQVAzIyNGYDRU5H,,,Commercial,,224 W. Main St.,,,,Merced,,,,,,El Palacio Night Club,Good,12/29/2022,Merced,224 W. Main St.
World,M,100.000000000000000,A,"3570 G St, Merced, California, 95340","3570 G St, Merced, CA, 95340, USA",3570 G St,PointAddress,,,"3570 G St, Merced, California, 95340",,,19.500000000000000,,3570,,,,,,,G,St,,,,,,,,,,,,,,3570 G St,,,,,Merced,,Merced County,California,CA,,,95340,0692,USA,United States,ENG,0.000000000000000,-120.469037331858999,37.331430375265001,-120.466754185252995,37.331362230392003,-120.467754185253000,-120.465754185253004,37.330362230391998,37.332362230392000,,AQGN6AAAY/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTcwZgNFTkc,,,Commercial,,3570 G St.,,,,Merced,,,,,,Em-Tea,Good,4/14/2025,Merced,3570 G St.
World,M,100.000000000000000,A,"3562 G St, Merced, California, 95340","3562 G St, Merced, CA, 95340, USA",3562 G St,PointAddress,,,"3562 G St, Merced, California, 95340",,,19.500000000000000,,3562,,,,,,,G,St,,,,,,,,,,,,,,3562 G St,,,,,Merced,,Merced County,California,CA,,,95340,0692,USA,United States,ENG,0.000000000000000,-120.469040516982005,37.331209093021002,-120.466835489714001,37.331194424689997,-120.467835489714005,-120.465835489713996,37.330194424689999,37.332194424690002,,AQGN6AAAY/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzNTYyZgNFTkc,,,Commercial,,3562 G St.,,,,Merced,,,,,,Ember Coffee + Eatery,Good,4/1/2026,Merced,3562 G St.
World,M,100.000000000000000,A,"561 W 8th St, Merced, California, 95341","561 W 8th St, Merced, CA, 95341, USA",561 W 8th St,PointAddress,,,"561 W 8th St, Merced, California, 95341",,,19.500000000000000,,561,,,,,W,,8th,St,,,,,,,,,,,,,,561 W 8th St,,,,,Merced,,Merced County,California,CA,,,95341,6022,USA,United States,ENG,0.000000000000000,-120.489932662103996,37.292589851325999,-120.489816740383006,37.292903418323000,-120.490816740382996,-120.488816740383001,37.291903418323002,37.293903418322998,,AQF26AAAPPEBAJUBBAAAAAAMD1dFU1QgOFRIIFNUUkVFVBUDNTYxZgNFTkc,,,Commercial,,561 W. 8th St.,,,,Merced,,,,,,Eltareb Market #3,Good,10/10/2023,Merced,561 W. 8th St.
