Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0005306,AR United Corporation DBA Royal India Indian Cuisine,Satisfactory,6/12/2026,Merced,3040 Park Ave. Ste E-2
FoodInspectDetail.aspx?id=FA0010043,"Arcilla's Asian Market, Inc.",Good,3/25/2026,Los Banos,1989 E. Pacheco Blvd Ste L
FoodInspectDetail.aspx?id=FA0009778,Arco 82723,Good,6/6/2023,Merced,3100 G St
FoodInspectDetail.aspx?id=FA0009414,ARCO AM PM,Good,4/5/2024,Merced,1625 McSwain Road
FoodInspectDetail.aspx?id=FA0009759,Arco Am/Pm,Satisfactory,3/26/2024,Atwater,1615 Bell Dr.
FoodInspectDetail.aspx?id=FA0009823,Arco AM/PM #83945,Good,4/3/2024,Los Banos,2027 E. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0008740,Arco AM/PM/Pennywise Travel Center,Good,12/12/2024,Santa Nella,12185 State highway 33
FoodInspectDetail.aspx?id=FA0008621,ARCO ampm,Good,3/25/2024,Merced,2070 E. Childs Ave.
FoodInspectDetail.aspx?id=FA0010049,Arco ampm,Satisfactory,2/19/2026,Merced,3101 N. Highway 59
FoodInspectDetail.aspx?id=FA0006338,ASC Kitchen,Good,9/27/2024,Atwater,168 E. Broadway Ave.
FoodInspectDetail.aspx?id=FA0006300,Atwater Market,Good,8/12/2024,Atwater,1450 Shaffer Road
FoodInspectDetail.aspx?id=FA0007127,Atwater Baskin Robbins,Good,1/29/2025,Atwater,1607 Bellevue Road
FoodInspectDetail.aspx?id=FA0010032,Atwater Grocery Outlet,Good,3/29/2024,Atwater,1093 Bellevue Road
FoodInspectDetail.aspx?id=FA0008233,Atwater Memorial Building (Castle Veterans Organization),Satisfactory,12/5/2025,Atwater,1390 Broadway
FoodInspectDetail.aspx?id=FA0009628,Atwater Mini Mart,Good,11/24/2025,Atwater,1198 Winton Way
FoodInspectDetail.aspx?id=FA0009671,Atwater School District - Food Warehouse,Good,4/14/2026,Atwater,1491 Grove St
FoodInspectDetail.aspx?id=FA0005905,Atwater Sushi,Satisfactory,11/10/2025,Atwater,1601 Bellevue Rd
FoodInspectDetail.aspx?id=FA0007644,Atwater Valley Community School,Good,5/26/2026,Atwater,1800 Matthew Ave.
FoodInspectDetail.aspx?id=FA0008004,Automatic Coffee Service,Good,6/12/2023,Merced,2115 W. Wardrobe Ave.
FoodInspectDetail.aspx?id=FA0000763,Azusa Market,Good,2/16/2024,Dos Palos,8060 W Azusa Rd
FoodInspectDetail.aspx?id=FA0001386,B.P.O.E. Merced Lodge # 1240,Good,1/4/2024,Merced,1910 M St
FoodInspectDetail.aspx?id=FA0008620,Baby Shop #6,Good,9/30/2024,Merced,1225 W. Main St.
FoodInspectDetail.aspx?id=FA0008559,Baby's Nutrition #6,Satisfactory,4/8/2024,Los Banos,30 W. G St. Ste C
FoodInspectDetail.aspx?id=FA0002529,Bag O' Crab MC LLC,Good,8/28/2025,Merced,455 W. Olive Ave.
FoodInspectDetail.aspx?id=FA0003657,Bagel Tyme,Good,9/4/2024,Merced,3040 Park Ave. # D
FoodInspectDetail.aspx?id=FA0009672,Ballico School,Good,5/5/2026,Ballico,11818 Gregg Ave
FoodInspectDetail.aspx?id=FA0005995,Bangkok Thai Restaurant,Satisfactory,9/18/2024,Merced,235 A W. Main St.
FoodInspectDetail.aspx?id=FA0007063,Bar B Q Pit,Good,6/27/2023,Merced,1720 G St.
FoodInspectDetail.aspx?id=FA0001774,Baskin-Robbins,Good,3/14/2024,Merced,293 Merced Mall
FoodInspectDetail.aspx?id=FA0002731,Baskin-Robbins,Good,7/15/2024,Los Banos,325 W. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0009733,BDS Travel Center Inc,Good,4/22/2026,Santa Nella,12754 State HWY 33
FoodInspectDetail.aspx?id=FA0002414,Bella Luna / The Goods Market & Deli,Good,9/18/2025,Merced,350 W. Main St.
FoodInspectDetail.aspx?id=FA0010027,Bellevue Bowl (food),Good,6/19/2023,Atwater,785 Bellevue Rd
FoodInspectDetail.aspx?id=FA0000288,Bellevue School,Good,4/13/2026,Atwater,1020 E. Bellevue Rd
FoodInspectDetail.aspx?id=FA0007211,Bernie's Liquors,Good,12/7/2023,Merced,2232 G St.
FoodInspectDetail.aspx?id=FA0000846,Best Buy Market,Good,12/6/2024,Merced,1220 W. 9th St
FoodInspectDetail.aspx?id=FA0000189,Best Western Andersen's Inn,Good,4/7/2026,Santa Nella,12367 S Hwy 33
FoodInspectDetail.aspx?id=FA0000188,Best Western Inn,Good,1/23/2024,Merced,1033 Motel Dr.
FoodInspectDetail.aspx?id=FA0002121,Best Western-Executive Inn,Satisfactory,3/11/2026,Los Banos,301 W. Pacheco Blvd
FoodInspectDetail.aspx?id=FA0000951,Beverage House #11,Good,3/15/2023,Los Banos,547 W. I St.
FoodInspectDetail.aspx?id=FA0010324,"Bharat Fiji Indian Grocery Store, LLC",Good,1/25/2024,Atwater,995 Bellevue Road
FoodInspectDetail.aspx?id=FA0009631,"Bi-Rite Liquors Merced, Inc.",Good,2/11/2026,Merced,1103 Martin Luther King Jr Way
FoodInspectDetail.aspx?id=FA0007941,Biggins Texas BBQ,Good,4/15/2026,Los Banos,609 I St.
FoodInspectDetail.aspx?id=FA0000429,Billar El Aguila LLC,Good,3/26/2025,Los Banos,830 I St.
FoodInspectDetail.aspx?id=FA0000558,Black Bear Diner,Satisfactory,8/4/2025,Los Banos,955 W Pacheco Blvd
FoodInspectDetail.aspx?id=FA0009714,Black Bear Diner,Satisfactory,5/10/2024,Merced,1435 V St.
FoodInspectDetail.aspx?id=FA0008384,Blackwood Brittle,Good,1/6/2026,Atwater,5250 Hartford Ct.
FoodInspectDetail.aspx?id=FA0009043,Blaker Brewing the Tarmac,Good,1/8/2026,Atwater,1930 Airdrome Entry
FoodInspectDetail.aspx?id=FA0010450,Blue Agave Bar And Grill,Good,7/31/2024,Los Banos,509 I St.
FoodInspectDetail.aspx?id=FA0010498,Blue Devil's Brew,Good,4/20/2026,Los Banos,22240 CA-152
FoodInspectDetail.aspx?id=FA0000863,Bobbi's Liquors,Good,9/13/2024,Atwater,2699 First St.
FoodInspectDetail.aspx?id=FA0005966,Body Shak Nutrition & Tanning,Good,9/5/2024,Merced,2949 G St.
FoodInspectDetail.aspx?id=FA0009784,Boland's Market,Good,9/8/2025,Snelling,15904 N. Highway 59
FoodInspectDetail.aspx?id=FA0000255,Borrelli's Market,Good,9/25/2023,Gustine,602 Jensen Road
FoodInspectDetail.aspx?id=FA0007189,Botanero El Barbas 209 INC,Good,2/18/2026,Los Banos,650 I St.
FoodInspectDetail.aspx?id=FA0004032,Boys & Girls Club of Merced,Good,3/20/2024,Merced,615 W. 15th St.
FoodInspectDetail.aspx?id=FA0008803,BP - Arco Service Station,Good,2/11/2025,Atwater,1901 Buhach Road
FoodInspectDetail.aspx?id=FA0000866,Broadway Market,Good,2/28/2023,Planada,9345 E. Broadway
