Loc_name,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgComp,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,RoomType,RoomName,WingType,WingName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,MatchID,PotentialID,MatchNarrative,StrucType,StrucDet,IN_Address,IN_Address2,IN_Address3,IN_Neighborhood,IN_City,IN_Subregion,IN_Region,IN_Postal,IN_PostalExt,IN_CountryCode,USER_Facility,USER_Current_Rating,USER_Last_Inspection_Date,USER_City,USER_Address,quality_score
World,M,100.0,A,"333 Mercy Ave, Merced, California, 95340","333 Mercy Ave, Merced, CA, 95340, USA",333 Mercy Ave,PointAddress,,,"333 Mercy Ave, Merced, California, 95340",,,19.5,,333,,,,,,,Mercy,Ave,,,,,,,,,,,,,,333 Mercy Ave,,,,,Merced,,Merced County,California,CA,,,95340,8319.0,USA,United States,ENG,0.0,-120.467062723109,37.338779166965,-120.467107901567,37.340021616472,-120.468107901567,-120.466107901567,37.339021616472,37.341021616472,,AQGM6AAAbPEBAJUBBAAAAAAMDE1FUkNZIEFWRU5VRRUDMzMzZgNFTkc,,,Commercial,,333 Mercy Ave.,,,,Merced,,,,,,Valley Wide Vending (Dignity Health Mercy Medical Center),Good,2/28/2024,Merced,333 Mercy Ave.,2
World,M,98.37,A,"3146 G St, Suite 107, Merced, California, 95340","3146 G St, Suite 107, Merced, CA, 95340, USA","3146 G St, Suite 107",Subaddress,,,"3146 G St, Suite 107, Merced, California, 95340",,,20.0,,3146,,,,,,,G,St,,,,,,,Suite,107,,,,,Suite 107,3146 G St,,,,,Merced,,Merced County,California,CA,,,95340,1371.0,USA,United States,ENG,0.0,-120.46845981873,37.319872946162,-120.46845981873,37.319872946162,-120.46945981873,-120.46745981873,37.318872946162,37.320872946162,,AQCL6AAAV/EBAJUBBAAAAAAMCEcgU1RSRUVUFQQzMTQ2HAUwOjEwN2YDRU5H,,,,,3146 N G St. Ste 107,,,,Merced,,,,,,Togo's of Merced,Satisfactory,6/4/2026,Merced,3146 N G St. Ste 107,1
World,M,100.0,A,"710 Carol Ave, Merced, California, 95341","710 Carol Ave, Merced, CA, 95341, USA",710 Carol Ave,PointAddress,,,"710 Carol Ave, Merced, California, 95341",,,19.5,,710,,,,,,,Carol,Ave,,,,,,,,,,,,,,710 Carol Ave,,,,,Merced,,Merced County,California,CA,,,95341,5168.0,USA,United States,ENG,0.0,-120.454414682674,37.288839662116,-120.454119974959,37.288839997393,-120.455119974959,-120.453119974959,37.287839997393,37.289839997393,,AQGZ6AAAOPEBAJUBBAAAAAAMDENBUk9MIEFWRU5VRRUDNzEwZgNFTkc,,,Commercial,,710 Carol Ave.,,,,Merced,,,,,,Vanessa's Ice Cream Shop,Good,5/15/2026,Merced,710 Carol Ave.,2
World,M,100.0,A,"1742 Canal St, Merced, California, 95340","1742 Canal St, Merced, CA, 95340, USA",1742 Canal St,PointAddress,,,"1742 Canal St, Merced, California, 95340",,,19.5,,1742,,,,,,,Canal,St,,,,,,,,,,,,,,1742 Canal St,,,,,Merced,,Merced County,California,CA,,,95340,4811.0,USA,United States,ENG,0.0,-120.482825981678,37.302235955048,-120.482660271452,37.302146520141,-120.483660271452,-120.481660271452,37.301146520141,37.303146520141,,AQF96AAARvEBAJUBBAAAAAAMDENBTkFMIFNUUkVFVBUEMTc0MmYDRU5H,,,Commercial,,1742 Canal St.,,,,Merced,,,,,,Vardaan Inc DBA Rock N Roll | Handrolled Premium Ice Cream,Good,5/4/2026,Merced,1742 Canal St.,2
World,M,100.0,A,"900 Martin Luther King Jr Way, Merced, California, 95341","900 Martin Luther King Jr Way, Merced, CA, 95341, USA",900 Martin Luther King Jr Way,PointAddress,,,"900 Martin Luther King Jr Way, Merced, California, 95341",,,19.5,,900,,,,,,,Martin Luther King Jr,Way,,,,,,,,,,,,,,900 Martin Luther King Jr Way,,,,,Merced,,Merced County,California,CA,,,95341,6053.0,USA,United States,ENG,0.0,-120.485210465493,37.291866744539,-120.484801344799,37.291661723187,-120.485801344799,-120.483801344799,37.290661723187,37.292661723187,,AQF76AAAO/EBAJUBBAAAAAAMGU1BUlRJTiBMVVRIRVIgS0lORyBKUiBXQVkVAzkwMGYDRU5H,,,,,900 Martin Luther King Jr Way,,,,Merced,,,,,,Veterans Service Solutions LLC,Good,1/28/2026,Merced,900 Martin Luther King Jr Way,2
World,M,100.0,A,"900 Loughborough Dr, Suite C, Merced, California, 95348","900 Loughborough Dr, Suite C, Merced, CA, 95348, USA","900 Loughborough Dr, Suite C",Subaddress,,,"900 Loughborough Dr, Suite C, Merced, California, 95348",,,20.0,,900,,,,,,,Loughborough,Dr,,,,,,,Suite,C,,,,,Suite C,900 Loughborough Dr,,,,,Merced,,Merced County,California,CA,,,95348,2386.0,USA,United States,ENG,0.0,-120.483212387414,37.323127639165,-120.483212387414,37.323127639165,-120.484212387414,-120.482212387414,37.322127639165,37.324127639165,,AQB86AAAW/EBAJUBBAAAAAAMEkxPVUdIQk9ST1VHSCBEUklWRRUDOTAwHAMwOkNmA0VORw,,,,,900 Loughborough Dr. Ste C,,,,Merced,,,,,,Villa's Mexican Food,Good,5/17/2024,Merced,900 Loughborough Dr. Ste C,2
World,M,100.0,A,"1060 W 16th St, Merced, California, 95340","1060 W 16th St, Merced, CA, 95340, USA",1060 W 16th St,PointAddress,,,"1060 W 16th St, Merced, California, 95340",,,19.5,,1060,,,,,W,,16th,St,,,,,,,,,,,,,,1060 W 16th St,,,,,Merced,,Merced County,California,CA,,,95340,4534.0,USA,United States,ENG,0.0,-120.492584193355,37.303574419256,-120.492666922739,37.303353137012,-120.493666922739,-120.491666922739,37.302353137012,37.304353137012,,AQFz6AAAR/EBAJUBBAAAAAAMEFdFU1QgMTZUSCBTVFJFRVQVBDEwNjBmA0VORw,,,Commercial,,1060 W. 16th St.,,,,Merced,,,,,,Victoria's Mexican Food,Satisfactory,11/3/2023,Merced,1060 W. 16th St.,1
World,M,100.0,A,"2939 G St, Merced, California, 95340","2939 G St, Merced, CA, 95340, USA",2939 G St,PointAddress,,,"2939 G St, Merced, California, 95340",,,19.5,,2939,,,,,,,G,St,,,,,,,,,,,,,,2939 G St,,,,,Merced,,Merced County,California,CA,,,95340,2130.0,USA,United States,ENG,0.0,-120.469501437838,37.313493563474,-120.470451861839,37.313511836023,-120.471451861839,-120.469451861839,37.312511836023,37.314511836023,,AQGJ6AAAUfEBAJUBBAAAAAAMCEcgU1RSRUVUFQQyOTM5ZgNFTkc,,,Commercial,,2939 G St.,,,,Merced,,,,,,Village Liquors,Good,12/20/2023,Merced,2939 G St.,2
World,M,100.0,A,"1640 R St, Merced, California, 95340","1640 R St, Merced, CA, 95340, USA",1640 R St,PointAddress,,,"1640 R St, Merced, California, 95340",,,19.5,,1640,,,,,,,R,St,,,,,,,,,,,,,,1640 R St,,,,,Merced,,Merced County,California,CA,,,95340,4527.0,USA,United States,ENG,0.0,-120.492693577191,37.304147657614,-120.491999974703,37.303761335697,-120.492999974703,-120.490999974703,37.302761335697,37.304761335697,,AQF06AAAR/EBAJUBBAAAAAAMCFIgU1RSRUVUFQQxNjQwZgNFTkc,,,Commercial,,1640 R St.,,,,Merced,,,,,,Walgreens #3330,Good,5/15/2024,Merced,1640 R St.,2
World,M,100.0,A,"3098 G St, Merced, California, 95340","3098 G St, Merced, CA, 95340, USA",3098 G St,PointAddress,,,"3098 G St, Merced, California, 95340",,,19.5,,3098,,,,,,,G,St,,,,,,,,,,,,,,3098 G St,,,,,Merced,,Merced County,California,CA,,,95340,2137.0,USA,United States,ENG,0.0,-120.469203377361,37.318070459793,-120.467685414696,37.318004410396,-120.468685414696,-120.466685414696,37.317004410396,37.319004410396,,AQGM6AAAVvEBAJUBBAAAAAAMCEcgU1RSRUVUFQQzMDk4ZgNFTkc,,,Commercial,,3098 G St.,,,,Merced,,,,,,Walgreens #4415,Good,11/21/2022,Merced,3098 G St.,2
