Facility,Current Rating,Last Inspection Date,City,Address
Table 59,Satisfactory,3/13/2024,Merced,3360 N. Hwy 59 Ste H
Taco Bell,Good,9/11/2023,Merced,1990 Yosemite Pkwy
Taco Bell #3171,Good,6/16/2026,Merced,3140 G St.
Taco Bell #4758,Good,8/2/2024,Merced,1440 Martin Luther King Jr Way
Taqueria El Huarache,Good,4/21/2025,Merced,3115 R St.
Taqueria El Palmar,Satisfactory,5/30/2024,Merced,1127 Martin Luther King Jr. Way
Taqueria Los Girasoles,Good,2/21/2023,Merced,2272 Beachwood Dr.
Taqueria y Rosticeria Los Navarrete DBA Tacos El Jr,Good,2/6/2026,Merced,1104 W. 16th St.
Target Store T-0641 Starbucks,Good,2/1/2024,Merced,3280 R St.
TARGET T0641,Good,2/1/2024,Merced,3280 R St
Tenaya Intermediate,Good,3/17/2026,Merced,760 W 8th St
Teriyaki Don,Satisfactory,4/8/2026,Merced,755 E. Yosemite Ave. Ste H
Thai Cuisine II,Good,4/8/2026,Merced,779 E. Yosemite Ave. G
Thai Cuisine Merced LLC DBA Thai Cuisine,Good,9/13/2024,Merced,23 E. 16th St.
Thai Star,Good,11/22/2022,Merced,57 W. Alexander Ave.
The Art Kamangar Center at the Merced Theatre,Good,11/23/2022,Merced,301 W. Main St.
The Chocolate Dipper,Good,4/25/2024,Merced,319 W. Main St.
The Cue Spot Billiards,Good,11/1/2022,Merced,450 W. Main St.
The Hampshire,Satisfactory,2/7/2024,Merced,3460 N. R St.
The Home Depot Store #6618,Good,2/26/2024,Merced,1735 W. 140 HWY
The Hot Spot,Good,3/21/2024,Merced,1711 I St.
The Papaya Lady,Satisfactory,7/24/2023,Merced,45 E. 16th St.
The Partisan,Good,9/11/2024,Merced,432 W. Main St.
The Sensory Lab by ASIP,Good,4/8/2026,Merced,847 W. Main St.
The Tandoor Table Inc,Good,4/25/2025,Merced,1052 W Main St.
The Vista Ranch and Cellars,Good,5/22/2024,Merced,7326 E. Hwy 140
Tioga Sequoia Brewing,Good,1/30/2025,Merced,1707 N St.
Togo's of Merced,Satisfactory,6/4/2026,Merced,3146 N G St. Ste 107
Toni's Courtyard Cafe,Satisfactory,7/21/2023,Merced,516 W. 18th St.
Towneplace Suites by Marriott,Good,9/27/2024,Merced,229 S. Parsons Ave.
Tractor Supply Company,Good,8/15/2023,Merced,882 S. Coffee St.
Trevino's Mexican Restaurant,Good,9/10/2024,Merced,408 W Main St.
Turmeric Indian Cuisine,Good,5/28/2025,Merced,731 E. Yosemite Ave. Ste C
Twins Food Outlet,Good,5/23/2025,Merced,159 W. Main St.
U Save Liquor,Good,7/14/2023,Merced,1846 Yosemite Pkwy
Una Mas Taproom,Good,12/16/2025,Merced,420 Main St.
US Foods CHEF'STORE,Good,2/26/2026,Merced,3275 R St.
Vallarta Supermarket #76,Good,5/28/2026,Merced,851 W. Olive St.
Valley Community School,Good,5/28/2026,Merced,1850 Wardrobe Ave.
Valley Eats,Good,8/22/2025,Merced,1997 W. Olive Ave.
Valley Wide Vending (Dignity Health Mercy Medical Center),Good,2/28/2024,Merced,333 Mercy Ave.
Vanessa's Ice Cream Shop,Good,5/15/2026,Merced,710 Carol Ave.
Vardaan Inc DBA Rock N Roll | Handrolled Premium Ice Cream,Good,5/4/2026,Merced,1742 Canal St.
Veterans Service Solutions LLC,Good,1/28/2026,Merced,900 Martin Luther King Jr Way
Victoria's Mexican Food,Satisfactory,11/3/2023,Merced,1060 W. 16th St.
Villa's Mexican Food,Good,5/17/2024,Merced,900 Loughborough Dr. Ste C
Village Liquors,Good,12/20/2023,Merced,2939 G St.
Walgreens #3330,Good,5/15/2024,Merced,1640 R St.
Walgreens #4415,Good,11/21/2022,Merced,3098 G St.
Walmart #2039,Good,3/27/2026,Merced,3055 Loughborough Dr.
We Do Dough Turlock Inc. DBA Crumbl Cookies,Good,7/15/2025,Merced,3630 G St. Ste E
Weaver Middle School,Good,5/12/2026,Merced,3076 E. Childs Ave.
Wendy's Old Fashioned,Good,3/5/2024,Merced,1400 Martin Luther King Jr Way
Wetzel's Pretzels,Satisfactory,2/19/2026,Merced,721 Merced Mall
Winganomics Inc (d.b.a. Wingstop Merced),Good,3/10/2025,Merced,779 E. Yosemite Ave. Ste D
Wired Internet Cafe,Good,9/4/2024,Merced,450 W. 18th St.
Wolfe Transition Center,Good,5/12/2026,Merced,732 W. 13th St.
Yogolicious,Good,8/29/2024,Merced,3110 R St. Ste B
Yosemite Chevron,Good,12/20/2023,Merced,3584 G St.
Yosemite Station Restaurant,Satisfactory,4/9/2025,Merced,125 E. Yosemite Ave. Ste A
Yosemite Valley Beef Packing Co Inc,Good,7/21/2023,Merced,970 E. Sandy Mush Road
Youth Sports Complex,Satisfactory,11/29/2023,Merced,1800 Wardrobe Ave.
Youth Sports Complex Concessions - Baseball / Soccer,Satisfactory,11/29/2023,Merced,1777 W. Wardrobe Ave.
Yum Yum Donuts Franchise #60,Satisfactory,9/5/2024,Merced,2931 G St
Yummy Thai,Good,6/25/2026,Merced,2961 Beachwood Dr.
Zesty Urban Farms Microgreens,Good,2/11/2026,Merced,3080 M St. Ste D
Zoomys Merced G St,Good,6/6/2023,Merced,3006 G St.
Zoomys Merced Yosemite Pkwy,Satisfactory,7/14/2023,Merced,1400 Yosemite Pkwy
